city,lat,lon,temperature,weather_code,sunrise,sunset,moonrise,moonset,co,no2,o3,so2,pm2_5,pm10,wind_speed,wind_degree,wind_dir,pressure,precip,humidity,cloudcover,feelslike,uv_index,visibility
New Delhi,28.600,77.200,21,143,07:05 AM,05:26 PM,01:04 AM,01:06 PM,1411.85,23.95,264,76.65,137.25,140.05,4,34,NE,1017,0,53,50,21,0,1
Mumbai,18.975,72.826,30,122,07:03 AM,06:03 PM,01:20 AM,01:29 PM,644.85,25.55,209,31.15,46.65,47.05,18,300,WNW,1011,0,35,0,32,0,4
Kolkata,22.570,88.370,21,143,06:07 AM,04:54 PM,12:16 AM,12:23 PM,457.85,1.95,214,12.95,44.55,47.25,8,3,N,1014,0,73,0,21,0,3
Chennai,13.083,80.283,26,143,06:22 AM,05:44 PM,12:48 AM,01:00 PM,275.85,2.05,135,7.55,28.75,35.15,19,31,NNE,1012,0,65,25,28,0,5
Bengaluru,12.983,77.583,24,113,06:32 AM,05:55 PM,12:59 AM,01:11 PM,243.85,3.85,152,10.75,20.95,26.35,9,76,ENE,1015,0,25,0,24,0,10
Hyderabad,17.375,78.474,26,143,06:37 AM,05:44 PM,12:56 AM,01:06 PM,291.85,0.85,174,11.65,28.85,31.45,10,81,E,1016,0,32,0,26,0,4
Ahmedabad,23.033,72.617,26,122,07:12 AM,05:56 PM,01:22 AM,01:28 PM,385.85,5.15,137,19.85,26.95,27.25,8,50,NE,1013,0,32,0,25,0,5
Pune,18.533,73.867,25,113,06:58 AM,06:00 PM,01:16 AM,01:24 PM,248.85,2.05,160,10.15,15.85,16.35,8,68,ENE,1013,0,26,0,24,0,10
Jaipur,26.917,75.817,23,143,07:07 AM,05:35 PM,01:09 AM,01:13 PM,400.85,2.65,163,13.25,18.45,18.45,6,173,S,1017,0,41,0,23,0,5
Chandigarh,30.737,76.787,17,122,07:12 AM,05:23 PM,01:06 AM,01:07 PM,713.85,4.55,213,36.65,61.65,62.75,4,33,NNE,1016,0,36,97,17,0,10
Lucknow,26.850,80.917,19,143,06:46 AM,05:15 PM,12:48 AM,12:52 PM,786.85,2.35,203,29.85,98.65,102.35,4,281,WNW,1016,0,68,0,19,0,3
Kanpur,26.467,80.350,19,143,06:48 AM,05:18 PM,12:50 AM,12:54 PM,829.85,2.45,204,37.45,119.55,122.85,4,333,NNW,1016,0,68,0,19,0,3
Nagpur,21.150,79.100,24,143,06:42 AM,05:34 PM,12:54 AM,01:02 PM,239.85,13.35,114,44.55,15.55,15.65,4,130,SE,1015,0,36,0,24,0,5
Indore,22.717,75.833,23,143,06:58 AM,05:44 PM,01:08 AM,01:15 PM,236.85,0.85,134,7.25,12.95,13.35,7,71,ENE,1017,0,47,0,24,0,6
Bhopal,23.267,77.400,23,113,06:53 AM,05:37 PM,01:02 AM,01:08 PM,262.85,1.15,133,9.15,13.35,14.25,8,54,NE,1017,0,36,0,24,0,6
Patna,25.600,85.117,19,143,06:27 AM,05:01 PM,12:30 AM,12:35 PM,700.85,0.85,229,27.45,58.75,60.95,4,284,WNW,1015,0,73,0,19,0,3
Ranchi,23.350,85.333,17,143,06:21 AM,05:04 PM,12:29 AM,12:35 PM,513.85,2.75,187,22.95,64.85,69.75,6,349,NNW,1018,0,42,0,17,0,2
Gaya,24.783,85.000,17,143,06:25 AM,05:03 PM,12:30 AM,12:36 PM,642.85,1.75,206,27.25,76.05,80.95,4,339,NNW,1015,0,83,0,17,0,2
Varanasi,25.333,83.000,21,113,06:34 AM,05:10 PM,12:39 AM,12:44 PM,955.85,1.75,206,25.95,111.45,121.95,4,9,N,1014,0,31,0,21,0,10
Agra,27.183,78.017,21,113,06:59 AM,05:26 PM,01:00 AM,01:04 PM,889.85,4.25,234,49.25,127.55,130.75,4,321,NW,1015,0,25,15,21,0,10
Mathura,27.500,77.683,20,113,07:01 AM,05:26 PM,01:01 AM,01:05 PM,904.85,3.15,221,48.95,125.15,128.95,4,285,WNW,1015,0,27,20,20,0,10
Meerut,28.983,77.700,21,143,07:04 AM,05:23 PM,01:02 AM,01:04 PM,1011.85,5.25,215,40.95,108.65,110.55,4,337,NNW,1017,0,53,50,21,0,1
Ghaziabad,28.667,77.433,21,143,07:04 AM,05:25 PM,01:03 AM,01:05 PM,1102.85,5.25,215,40.95,108.65,110.55,4,263,W,1017,0,53,50,21,0,1
Noida,28.570,77.320,21,143,07:05 AM,05:26 PM,01:03 AM,01:06 PM,1328.85,13.95,260,68.15,138.25,141.95,4,21,NNE,1017,0,53,50,21,0,1
Faridabad,28.433,77.317,21,143,07:04 AM,05:26 PM,01:03 AM,01:06 PM,1086.85,13.95,260,68.15,138.25,141.95,5,27,NNE,1017,0,53,50,21,0,1
Panipat,29.389,76.968,20,122,07:08 AM,05:25 PM,01:05 AM,01:07 PM,1139.85,14.35,230,63.75,134.45,137.25,5,11,N,1016,0,28,100,20,0,10
Karnal,29.683,76.983,19,122,07:08 AM,05:24 PM,01:05 AM,01:07 PM,1027.85,9.45,200,44.85,118.15,120.55,6,2,N,1016,0,33,100,19,0,10
Ambala,30.378,76.781,19,119,07:11 AM,05:24 PM,01:06 AM,01:07 PM,963.85,5.25,213,35.35,80.75,81.65,4,191,S,1016,0,36,75,19,0,10
Amritsar,31.633,74.866,16,248,07:22 AM,05:28 PM,01:14 AM,01:14 PM,1591.85,9.45,162,31.85,108.45,110.25,4,91,E,1017,0,82,50,16,0,1
Ludhiana,30.900,75.850,19,122,07:16 AM,05:26 PM,01:10 AM,01:11 PM,1210.85,8.35,191,30.25,113.55,115.45,4,25,NNE,1016,0,34,100,19,0,10
Jalandhar,31.326,75.579,19,122,07:18 AM,05:26 PM,01:11 AM,01:12 PM,1155.85,11.05,195,36.35,108.85,110.55,4,144,SE,1016,0,33,97,19,0,10
Patiala,30.327,76.400,19,122,07:12 AM,05:25 PM,01:07 AM,01:09 PM,789.85,5.85,193,34.55,94.65,96.35,4,200,SSW,1016,0,35,97,19,0,10
Shimla,31.103,77.172,14,113,07:11 AM,05:20 PM,01:04 AM,01:05 PM,249.85,1.45,153,15.75,18.65,20.35,4,260,W,1018,0,45,7,14,0,10
